Województwo,Powiat,Gmina,Adres,Typ obszaru,Długość geograficzna,Szerokość geograficzna,Data pomiaru,Parametr pomiaru,Wynik pomiaru [V/m],Niepewność pomiaru [V/m],Średnia dla obszaru [V/m]
WOJ. LUBELSKIE,Powiat lubelski,Jastków,Jastków,Tereny wiejskie,"22° 26' 18""","51° 18' 6""",2019-06-24,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2226667
WOJ. LUBELSKIE,Powiat łęczyński,Milejów,Milejów,Tereny wiejskie,"22° 55' 40""","51° 13' 23""",2019-09-04,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2226667
WOJ. LUBELSKIE,Powiat puławski,Końskowola,Końskowola,Tereny wiejskie,"22° 3' 1""","51° 24' 30""",2019-10-02,Składowa elektryczna 3[MHz]-300[GHz],0.5,0.15,0.2226667
WOJ. LUBELSKIE,Powiat radzyński,Komarówka Podlaska,Komarówka Podlaska,Tereny wiejskie,"22° 56' 37""","51° 48' 13""",2019-10-08,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2226667
WOJ. LUBELSKIE,Powiat rycki,Kłoczew,Kłoczew,Tereny wiejskie,"21° 57' 23""","51° 43' 19""",2019-09-02,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2226667
WOJ. LUBELSKIE,Powiat tomaszowski,Tarnawatka,Tarnawatka,Tereny wiejskie,"23° 23' 4""","50° 32' 14""",2019-10-30,Składowa elektryczna 3[MHz]-300[GHz],0.38,0.15,0.2226667
WOJ. LUBELSKIE,Powiat włodawski,Wola Uhruska,Wola Uhruska,Tereny wiejskie,"23° 37' 29""","51° 19' 12""",2019-10-29,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2226667
WOJ. LUBELSKIE,Powiat zamojski,Adamów,Feliksówka,Tereny wiejskie,"23° 15' 20""","50° 36' 56""",2019-10-10,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2226667
WOJ. LUBUSKIE,Powiat m. Gorzów Wielkopolski,M. Gorzów Wielkopolski,Gorzów Wlkp.. ul. Szczaniecka,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 13' 41""","52° 45' 1""",2019-04-09,Składowa elektryczna 3[MHz]-300[GHz],0.71,0.17,0.804
WOJ. LUBUSKIE,Powiat m. Gorzów Wielkopolski,M. Gorzów Wielkopolski,Gorzów Wlkp.. ul. Kobylogórska,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 15' 19""","52° 43' 7""",2019-06-04,Składowa elektryczna 3[MHz]-300[GHz],0.68,0.16,0.804
WOJ. LUBUSKIE,Powiat m. Gorzów Wielkopolski,M. Gorzów Wielkopolski,Gorzów Wlkp.. Kombatantów,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 15' 46""","52° 45' 33""",2019-04-08,Składowa elektryczna 3[MHz]-300[GHz],0.82,0.19,0.804
WOJ. LUBUSKIE,Powiat m. Gorzów Wielkopolski,M. Gorzów Wielkopolski,Gorzów Wlkp.. ul. Czereśniowa,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 14' 54""","52° 44' 57""",2019-04-12,Składowa elektryczna 3[MHz]-300[GHz],0.38,0.1,0.804
WOJ. LUBUSKIE,Powiat m. Gorzów Wielkopolski,M. Gorzów Wielkopolski,Gorzów Wlkp.. Nowa ,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 14' 57""","52° 44' 17""",2019-04-10,Składowa elektryczna 3[MHz]-300[GHz],0.1,0.25,0.804
WOJ. LUBUSKIE,Powiat m. Gorzów Wielkopolski,M. Gorzów Wielkopolski,Gorzów Wlkp.. Piłsudskiego1,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 14' 39""","52° 44' 26""",2019-04-17,Składowa elektryczna 3[MHz]-300[GHz],0.76,0.18,0.804
WOJ. LUBUSKIE,Powiat m. Gorzów Wielkopolski,M. Gorzów Wielkopolski,Gorzów Wlkp.ul. Przemysłowa,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 14' 29""","52° 43' 33""",2019-06-04,Składowa elektryczna 3[MHz]-300[GHz],0.1,0.25,0.804
WOJ. LUBUSKIE,Powiat m. Zielona Góra,M. Zielona Góra,Zielona Góra ul. Dekoracyjna,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 29' 9""","51° 57' 16""",2019-06-14,Składowa elektryczna 3[MHz]-300[GHz],0.81,0.19,0.804
WOJ. LUBUSKIE,Powiat m. Zielona Góra,M. Zielona Góra,Zielona Góra  ul.Boh. Westerplatte,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 30' 40""","51° 56' 39""",2019-08-16,Składowa elektryczna 3[MHz]-300[GHz],0.94,0.22,0.804
WOJ. LUBUSKIE,Powiat m. Zielona Góra,M. Zielona Góra,Zielona Góra ul. Braniborska,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 31' 54""","51° 56' 3""",2019-09-06,Składowa elektryczna 3[MHz]-300[GHz],0.38,0.08,0.804
WOJ. LUBUSKIE,Powiat m. Zielona Góra,M. Zielona Góra,Zielona Góra ul. Piwna,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 30' 36""","51° 55' 41""",2019-06-25,Składowa elektryczna 3[MHz]-300[GHz],1.32,0.31,0.804
WOJ. LUBUSKIE,Powiat m. Zielona Góra,M. Zielona Góra,Zielona Góra ul. Mickiewicza,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 30' 32""","51° 56' 19""",2019-09-06,Składowa elektryczna 3[MHz]-300[GHz],0.52,0.12,0.804
WOJ. LUBUSKIE,Powiat m. Zielona Góra,M. Zielona Góra,Zielona Góra ul. Jaskółcza,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 30' 15""","51° 55' 32""",2019-06-21,Składowa elektryczna 3[MHz]-300[GHz],0.45,0.1,0.804
WOJ. LUBUSKIE,Powiat m. Zielona Góra,M. Zielona Góra,Zielona Góra ul. Urszuli - okolice,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 31' 43""","51° 57' 7""",2019-06-10,Składowa elektryczna 3[MHz]-300[GHz],0.1,,0.804
WOJ. LUBUSKIE,Powiat m. Zielona Góra,M. Zielona Góra,Zielona Góra ul. Poznańska,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"15° 32' 28""","51° 58' 10""",2019-06-11,Składowa elektryczna 3[MHz]-300[GHz],0.1,0.47,0.804
WOJ. LUBUSKIE,Powiat gorzowski,Kostrzyn nad Odrą,Kostrzyn nad Odrą. ul. Kardynała Stefana Wyszyńskiego,Pozostałe miasta,"14° 39' 33""","52° 35' 18""",2019-04-16,Składowa elektryczna 3[MHz]-300[GHz],0.57,0.14,0.39
WOJ. LUBUSKIE,Powiat nowosolski,Nowe Miasteczko,Nowe Miasteczko,Pozostałe miasta,"15° 44' 12""","51° 41' 40""",2019-11-20,Składowa elektryczna 3[MHz]-300[GHz],0.41,0.1,0.39
WOJ. LUBUSKIE,Powiat nowosolski,Bytom Odrzański,Bytom Odrzański,Pozostałe miasta,"15° 49' 30""","51° 43' 53""",2019-09-04,Składowa elektryczna 3[MHz]-300[GHz],0.36,0.08,0.39
WOJ. LUBUSKIE,Powiat słubicki,Słubice,Słubice,Pozostałe miasta,"14° 33' 48""","52° 20' 58""",2019-08-23,Składowa elektryczna 3[MHz]-300[GHz],0.1,,0.39
WOJ. LUBUSKIE,Powiat strzelecko-drezdenecki,Strzelce Krajeńskie,Strzelce Krajeńskie ,Pozostałe miasta,"15° 32' 2""","52° 52' 13""",2019-06-06,Składowa elektryczna 3[MHz]-300[GHz],0.22,0.05,0.39
WOJ. LUBUSKIE,Powiat strzelecko-drezdenecki,Drezdenko,Drezdenko ,Pozostałe miasta,"15° 50' 39""","52° 50' 5""",2019-08-26,Składowa elektryczna 3[MHz]-300[GHz],0.35,0.08,0.39
WOJ. LUBUSKIE,Powiat zielonogórski,Czerwieńsk,Czerwieńsk ,Pozostałe miasta,"15° 24' 55""","52° 0' 51""",2019-05-24,Składowa elektryczna 3[MHz]-300[GHz],0.38,0.09,0.39
WOJ. LUBUSKIE,Powiat żagański,Gozdnica,Gozdnica,Pozostałe miasta,"15° 5' 39""","51° 26' 17""",2019-12-05,Składowa elektryczna 3[MHz]-300[GHz],0.1,,0.39
WOJ. LUBUSKIE,Powiat żagański,Iłowa,Iłowa,Pozostałe miasta,"15° 11' 2""","51° 29' 52""",2019-07-23,Składowa elektryczna 3[MHz]-300[GHz],0.1,,0.39
WOJ. LUBUSKIE,Powiat żagański,Małomice,Małomice ,Pozostałe miasta,"15° 26' 52""","51° 32' 56""",2019-06-26,Składowa elektryczna 3[MHz]-300[GHz],0.52,0.12,0.39
WOJ. LUBUSKIE,Powiat żarski,Jasień,Jasień ,Pozostałe miasta,"15° 0' 46""","51° 44' 38""",2019-07-15,Składowa elektryczna 3[MHz]-300[GHz],0.35,0.08,0.39
WOJ. LUBUSKIE,Powiat żarski,Łęknica,Łęknica ,Pozostałe miasta,"14° 44' 12""","51° 32' 8""",2019-05-29,Składowa elektryczna 3[MHz]-300[GHz],0.26,0.06,0.39
WOJ. LUBUSKIE,Powiat wschowski,Szlichtyngowa,Szlichtyngowa,Pozostałe miasta,"16° 14' 31""","51° 42' 36""",2019-07-01,Składowa elektryczna 3[MHz]-300[GHz],0.24,0.06,0.39
WOJ. LUBUSKIE,Powiat wschowski,Sława,Sława,Pozostałe miasta,"16° 4' 41""","51° 52' 36""",2019-07-17,Składowa elektryczna 3[MHz]-300[GHz],0.5,0.12,0.39
WOJ. LUBUSKIE,Powiat wschowski,Wschowa,Wschowa ,Pozostałe miasta,"16° 19' 41""","51° 48' 2""",2019-06-28,Składowa elektryczna 3[MHz]-300[GHz],1.39,0.32,0.39
WOJ. LUBUSKIE,Powiat gorzowski,Bogdaniec,Jenin,Tereny wiejskie,"15° 6' 50""","52° 42' 2""",2019-06-05,Składowa elektryczna 3[MHz]-300[GHz],0.22,0.05,0.3093333
WOJ. LUBUSKIE,Powiat gorzowski,Santok,Santok,Tereny wiejskie,"15° 24' 34""","52° 44' 16""",2019-06-18,Składowa elektryczna 3[MHz]-300[GHz],0.3,0.07,0.3093333
WOJ. LUBUSKIE,Powiat krośnieński,Dąbie,Dąbie ,Tereny wiejskie,"15° 9' 6""","52° 0' 38""",2019-05-30,Składowa elektryczna 3[MHz]-300[GHz],0.48,0.1,0.3093333
WOJ. LUBUSKIE,Powiat międzyrzecki,Skwierzyna,Murzynowo,Tereny wiejskie,"15° 27' 17""","52° 38' 39""",2019-06-19,Składowa elektryczna 3[MHz]-300[GHz],0.2,0.05,0.3093333
WOJ. LUBUSKIE,Powiat międzyrzecki,Skwierzyna,Trzebiszewo,Tereny wiejskie,"15° 24' 34""","52° 44' 16""",2019-12-06,Składowa elektryczna 3[MHz]-300[GHz],0.4,0.1,0.3093333
WOJ. LUBUSKIE,Powiat międzyrzecki,Trzciel,Lutol Suchy ,Tereny wiejskie,"15° 43' 23""","52° 20' 9""",2019-10-30,Składowa elektryczna 3[MHz]-300[GHz],0.29,0.07,0.3093333
WOJ. LUBUSKIE,Powiat nowosolski,Kożuchów,Radwanów,Tereny wiejskie,"15° 29' 26""","51° 47' 57""",2019-07-04,Składowa elektryczna 3[MHz]-300[GHz],0.25,0.06,0.3093333
WOJ. LUBUSKIE,Powiat słubicki,Ośno Lubuskie,Radachów,Tereny wiejskie,"14° 54' 42""","52° 29' 37""",2019-06-17,Składowa elektryczna 3[MHz]-300[GHz],0.1,,0.3093333
WOJ. LUBUSKIE,Powiat słubicki,Słubice,Kunowice,Tereny wiejskie,"14° 38' 14""","52° 20' 34""",2019-11-20,Składowa elektryczna 3[MHz]-300[GHz],0.47,0.12,0.3093333
WOJ. LUBUSKIE,Powiat strzelecko-drezdenecki,Strzelce Krajeńskie,Tuczno,Tereny wiejskie,"15° 29' 36""","52° 58' 38""",2019-06-03,Składowa elektryczna 3[MHz]-300[GHz],0.24,0.06,0.3093333
WOJ. LUBUSKIE,Powiat strzelecko-drezdenecki,Strzelce Krajeńskie,Długie ,Tereny wiejskie,"15° 39' 47""","52° 54' 32""",2019-09-11,Składowa elektryczna 3[MHz]-300[GHz],0.1,,0.3093333
WOJ. LUBUSKIE,Powiat sulęciński,Torzym,Gądków Wielki,Tereny wiejskie,"14° 58' 31""","52° 14' 29""",2019-10-29,Składowa elektryczna 3[MHz]-300[GHz],0.29,0.07,0.3093333
WOJ. LUBUSKIE,Powiat sulęciński,Torzym,Boczów ,Tereny wiejskie,"14° 56' 15""","52° 19' 17""",2019-06-07,Składowa elektryczna 3[MHz]-300[GHz],0.56,0.13,0.3093333
WOJ. LUBUSKIE,Powiat żagański,Żagań,Jelenin,Tereny wiejskie,"15° 27' 43""","51° 40' 9""",2019-08-21,Składowa elektryczna 3[MHz]-300[GHz],0.36,0.08,0.3093333
WOJ. LUBUSKIE,Powiat m. Zielona Góra,M. Zielona Góra,Przylep,Tereny wiejskie,"15° 26' 58""","51° 58' 8""",2019-05-31,Składowa elektryczna 3[MHz]-300[GHz],0.38,0.09,0.3093333
WOJ. ŁÓDZKIE,Powiat pabianicki,Pabianice,Pabianice ul. Jana Pawła II/Konopnickiej,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 20' 24""","51° 39' 26""",2019-05-28,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.5033333
WOJ. ŁÓDZKIE,Powiat pabianicki,Pabianice,Pabianice ul. Wyszyńskiego/Zamkowa,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 20' 51""","51° 39' 50""",2019-07-19,Składowa elektryczna 3[MHz]-300[GHz],0.1,0.4,0.5033333
WOJ. ŁÓDZKIE,Powiat pabianicki,Pabianice,Pabianice ul. Stary Rynek,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 21' 46""","51° 39' 47""",2019-04-16,Składowa elektryczna 3[MHz]-300[GHz],0.4,0.1,0.5033333
WOJ. ŁÓDZKIE,Powiat pabianicki,Pabianice,Pabianice ul. Grota Roweckiego/Nawrockiego,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 22' 37""","51° 39' 21""",2019-08-05,Składowa elektryczna 3[MHz]-300[GHz],0.3,0.1,0.5033333
WOJ. ŁÓDZKIE,Powiat pabianicki,Pabianice,Pabianice ul. Łaska/Wiejska,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 19' 27""","51° 39' 29""",2019-06-21,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź ul. Lumumby/Pomorska,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 29' 39""","51° 46' 40""",2019-06-07,Składowa elektryczna 3[MHz]-300[GHz],0.6,0.2,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź ul. Człuchowska/św. Franciszka,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 25' 51""","51° 43' 32""",2019-08-02,Składowa elektryczna 3[MHz]-300[GHz],0.4,0.1,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź ul. Sporna/Wojska Polskiego,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 28' 43""","51° 47' 18""",2019-08-08,Składowa elektryczna 3[MHz]-300[GHz],0.5,0.1,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź pl. Hallera/Żeligowskiego,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 26' 18""","51° 46' 1""",2019-08-19,Składowa elektryczna 3[MHz]-300[GHz],0.8,0.2,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Łódź,M. Łódź,Łódź ul. Pabianicka/Rudzka,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 25' 44""","51° 42' 38""",2019-08-13,Składowa elektryczna 3[MHz]-300[GHz],0.3,0.1,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Piotrków Trybunalski,M. Piotrków Trybunalski,Piotrków Trybunalski ul. Krakowskie Przedmieście/Jagiellońska,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 41' 49""","51° 24' 8""",2019-05-27,Składowa elektryczna 3[MHz]-300[GHz],0.4,0.1,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Piotrków Trybunalski,M. Piotrków Trybunalski,Piotrków Trybunalski ul. Włókiennicza/Ceramiczna,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 43' 17""","51° 24' 5""",2019-08-28,Składowa elektryczna 3[MHz]-300[GHz],0.8,0.2,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Piotrków Trybunalski,M. Piotrków Trybunalski,Piotrków Trybunalski ul. Krakowskie Przedmieście,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 41' 52""","51° 24' 24""",2019-10-16,Składowa elektryczna 3[MHz]-300[GHz],0.5,0.1,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Piotrków Trybunalski,M. Piotrków Trybunalski,Piotrków Trybunalski ul. Belzacka/Kobyłeckiego,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 40' 23""","51° 24' 30""",2019-07-15,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.5033333
WOJ. ŁÓDZKIE,Powiat m. Piotrków Trybunalski,M. Piotrków Trybunalski,Piotrków Trybunalski ul. Kotarbińskiego/Paderewskiego,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 39' 40""","51° 24' 28""",2019-10-14,Składowa elektryczna 3[MHz]-300[GHz],0.4,0.1,0.5033333
WOJ. ŁÓDZKIE,Powiat bełchatowski,Zelów,Zelów ul. Kościuszki/św. Anny,Pozostałe miasta,"19° 13' 9""","51° 27' 52""",2019-04-02,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat opoczyński,Drzewica,Drzewica pl. Wolności,Pozostałe miasta,"20° 28' 42""","51° 27' 3""",2019-04-23,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat opoczyński,Opoczno,Opoczno pl. Kościuszki,Pozostałe miasta,"20° 17' 21""","51° 22' 36""",2019-07-22,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat pajęczański,Pajęczno,Pajęczno ul. Wiśniowa/22 Lipca,Pozostałe miasta,"18° 59' 38""","51° 8' 52""",2019-06-14,Składowa elektryczna 3[MHz]-300[GHz],0.3,0.1,0.2533333
WOJ. ŁÓDZKIE,Powiat pajęczański,Działoszyn,Działoszyn ul. Piłsudskiego,Pozostałe miasta,"18° 52' 24""","51° 7' 2""",2019-04-18,Składowa elektryczna 3[MHz]-300[GHz],0.3,0.1,0.2533333
WOJ. ŁÓDZKIE,Powiat piotrkowski,Sulejów,Sulejów ul. Konecka/Łączna,Pozostałe miasta,"19° 53' 18""","51° 21' 10""",2019-04-25,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat radomszczański,Kamieńsk,Kamieńsk pl. Wolności,Pozostałe miasta,"19° 29' 52""","51° 12' 14""",2019-07-29,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat radomszczański,Przedbórz,Przedbórz ul. Rynek,Pozostałe miasta,"19° 52' 21""","51° 5' 10""",2019-04-03,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat sieradzki,Sieradz,Sieradz ul. Łokietka 5,Pozostałe miasta,"18° 43' 19""","51° 35' 38""",2019-09-23,Składowa elektryczna 3[MHz]-300[GHz],0.3,0.1,0.2533333
WOJ. ŁÓDZKIE,Powiat sieradzki,Sieradz,Sieradz ul. Rynek 17,Pozostałe miasta,"18° 44' 16""","51° 35' 40""",2019-08-26,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat sieradzki,Sieradz,Sieradz ul. Armii Krajowej/Bohaterów Września,Pozostałe miasta,"18° 42' 48""","51° 35' 16""",2019-07-30,Składowa elektryczna 3[MHz]-300[GHz],0.3,0.1,0.2533333
WOJ. ŁÓDZKIE,Powiat sieradzki,Błaszki,Błaszki pl. Sulwińskiego,Pozostałe miasta,"18° 25' 58""","51° 39' 7""",2019-06-03,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat zgierski,Aleksandrów Łódzki,Aleksandrów Łódzki pl. Kościuszki,Pozostałe miasta,"19° 18' 12""","51° 49' 15""",2019-04-19,Składowa elektryczna 3[MHz]-300[GHz],0.1,0.2,0.2533333
WOJ. ŁÓDZKIE,Powiat zgierski,Ozorków,Ozorków pl. Jana Pawła II,Pozostałe miasta,"19° 17' 33""","51° 57' 49""",2019-05-22,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat zgierski,Głowno,Głowno pl. Wolności,Pozostałe miasta,"19° 43' 17""","51° 57' 55""",2019-04-05,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.2533333
WOJ. ŁÓDZKIE,Powiat bełchatowski,Szczerców,Szczercowska Wieś,Tereny wiejskie,"19° 5' 35""","51° 21' 23""",2019-06-10,Składowa elektryczna 3[MHz]-300[GHz],0.4,0.1,0.1833333
WOJ. ŁÓDZKIE,Powiat bełchatowski,Drużbice,Bukowie Dolne,Tereny wiejskie,"19° 24' 42""","51° 25' 37""",2019-06-19,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat opoczyński,Sławno,Bratków,Tereny wiejskie,"20° 7' 49""","51° 26' 28""",2019-08-27,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat opoczyński,Poświętne,Buczek,Tereny wiejskie,"20° 17' 46""","51° 27' 38""",2019-04-08,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat pabianicki,Pabianice,Porszewice,Tereny wiejskie,"19° 17' 18""","51° 42' 48""",2019-04-04,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat pabianicki,Pabianice,Żytowice,Tereny wiejskie,"19° 14' 25""","51° 41' 56""",2019-05-07,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat pabianicki,Pabianice,Pawlikowice,Tereny wiejskie,"19° 20' 23""","51° 36' 47""",2019-06-06,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat pajęczański,Kiełczygłów,Glina Duża,Tereny wiejskie,"18° 58' 55""","51° 15' 54""",2019-10-15,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat pajęczański,Pajęczno,Niwiska Górne,Tereny wiejskie,"18° 58' 3""","51° 6' 13""",2019-04-09,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat piotrkowski,Moszczenica,Sierosław,Tereny wiejskie,"19° 36' 40""","51° 30' 33""",2019-05-30,Składowa elektryczna 3[MHz]-300[GHz],0.4,0.1,0.1833333
WOJ. ŁÓDZKIE,Powiat piotrkowski,Wola Krzysztoporska,Gomulin Kolonia,Tereny wiejskie,"19° 34' 9""","51° 25' 7""",2019-06-12,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat radomszczański,Kamieńsk,Danielów,Tereny wiejskie,"19° 28' 37""","51° 14' 35""",2019-08-21,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat radomszczański,Masłowice,Korytno,Tereny wiejskie,"19° 50' 23""","51° 6' 30""",2019-06-05,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat tomaszowski,Rokiciny,Janków,Tereny wiejskie,"19° 50' 4""","51° 38' 51""",2019-10-21,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. ŁÓDZKIE,Powiat tomaszowski,Ujazd,Przesiadłów,Tereny wiejskie,"19° 57' 41""","51° 35' 45""",2019-06-04,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.1833333
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków. ul. Bronowicka,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 54' 24""","50° 4' 32""",2019-09-27,Składowa elektryczna 3[MHz]-300[GHz],0.34,0.06,1
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków. ul. Josepha Conrada,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 54' 13""","50° 5' 22""",2019-04-01,Składowa elektryczna 3[MHz]-300[GHz],0.8,0.14,1
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków. ul. Opolska,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 56' 53""","50° 5' 17""",2019-04-23,Składowa elektryczna 3[MHz]-300[GHz],0.38,0.07,1
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków. ul. Okulickiego,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"20° 0' 37""","50° 5' 30""",2019-07-03,Składowa elektryczna 3[MHz]-300[GHz],0.28,0.05,1
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków. ul. Powstańców Wielkopolskich,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 57' 36""","50° 2' 32""",2019-07-12,Składowa elektryczna 3[MHz]-300[GHz],0.93,0.16,1
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków. ul. Nowowiejska,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 55' 7""","50° 4' 22""",2019-10-02,Składowa elektryczna 3[MHz]-300[GHz],0.22,0.04,1
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków. ul. Zawiła,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 54' 51""","50° 0' 34""",2019-07-08,Składowa elektryczna 3[MHz]-300[GHz],0.0,,1
WOJ. MAŁOPOLSKIE,Powiat m. Kraków,M. Kraków,Kraków. ul. Raciborska,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"19° 54' 9""","50° 1' 13""",2019-07-24,Składowa elektryczna 3[MHz]-300[GHz],0.13,0.03,1
